ID,pep_ID,pos_rate,sig
1015652,52,0,NO
GP120995-4,4,0,NO
1015654,54,4.16,NO
1015657,57,4.17,NO
1015644,44,5.98,YES
1015664,64,6.25,NO
GP120995-10,10,6.25,NO
1015650,50,8.33,NO
1015660,60,8.33,NO
GP120995-1,1,9.653465347,YES
GP120995-2,2,11.63366337,YES
GP120995-12,12,11.88118812,YES
1015649,49,12.5,NO
1015651,51,12.5,NO
GP120995-14,14,12.5,NO
1015640,40,14.1,YES
1015656,56,14.58,NO
1015645,45,14.6,NO
GP120995-7,7,14.63,NO
GP120995-6,6,17.5,NO
1015641,41,17.57,YES
1015647,47,18.75,NO
GP120995-11,11,18.75,NO
1015653,53,21.04,YES
994193,193,22.3,NO
GP120995-3,3,22.52475248,YES
1015655,55,23.01,YES
994196,196,27,NO
994194,194,28.71,YES
1015642,42,32.67,YES
GP120995-13,13,34.9009901,YES
1015639,39,35.4,YES
1015646,46,36.38,YES
1015643,43,46.88,YES
GP120995-5,5,49.5049505,YES
994197,197,49.87,YES
GP120995-8,8,51.73267327,YES
994195,195,66.58,YES
